date,time,seconds,rr
12/4/2012,7:31:37 AM,0,0.855
12/4/2012,7:31:38 AM,0.855,0.855
12/4/2012,7:31:39 AM,1.717,0.862
12/4/2012,7:31:40 AM,2.607,0.89
12/4/2012,7:31:41 AM,3.557,0.95
12/4/2012,7:31:41 AM,4.445,0.888
12/4/2012,7:31:42 AM,5.296,0.851
12/4/2012,7:31:43 AM,6.137,0.841
12/4/2012,7:31:44 AM,6.951,0.814
12/4/2012,7:31:45 AM,7.743,0.792
12/4/2012,7:31:46 AM,8.522,0.779
12/4/2012,7:31:46 AM,9.313,0.791
12/4/2012,7:31:47 AM,10.104,0.791
12/4/2012,7:31:48 AM,10.899,0.795
12/4/2012,7:31:49 AM,11.696,0.797
12/4/2012,7:31:50 AM,12.517,0.821
12/4/2012,7:31:50 AM,13.341,0.824
12/4/2012,7:31:51 AM,14.161,0.82
12/4/2012,7:31:52 AM,14.962,0.801
12/4/2012,7:31:53 AM,15.774,0.812
12/4/2012,7:31:54 AM,16.575,0.801
12/4/2012,7:31:54 AM,17.377,0.802
12/4/2012,7:31:55 AM,18.17,0.793
12/4/2012,7:31:56 AM,18.978,0.808
12/4/2012,7:31:57 AM,19.802,0.824
12/4/2012,7:31:58 AM,20.618,0.816
12/4/2012,7:31:58 AM,21.421,0.803
12/4/2012,7:31:59 AM,22.214,0.793
12/4/2012,7:32:00 AM,22.999,0.785
12/4/2012,7:32:01 AM,23.749,0.75
12/4/2012,7:32:01 AM,24.492,0.743
12/4/2012,7:32:02 AM,25.226,0.734
12/4/2012,7:32:03 AM,25.944,0.718
12/4/2012,7:32:04 AM,26.656,0.712
12/4/2012,7:32:04 AM,27.355,0.699
12/4/2012,7:32:05 AM,28.046,0.691
12/4/2012,7:32:06 AM,28.718,0.672
12/4/2012,7:32:06 AM,29.391,0.673
12/4/2012,7:32:07 AM,30.064,0.673
12/4/2012,7:32:07 AM,30.44,0.376
12/4/2012,7:32:08 AM,31.393,0.953
12/4/2012,7:32:09 AM,32.061,0.668
12/4/2012,7:32:10 AM,32.738,0.677
12/4/2012,7:32:10 AM,33.435,0.697
12/4/2012,7:32:11 AM,34.153,0.718
12/4/2012,7:32:12 AM,34.861,0.708
12/4/2012,7:32:13 AM,35.584,0.723
12/4/2012,7:32:13 AM,36.314,0.73
12/4/2012,7:32:14 AM,37.043,0.729
12/4/2012,7:32:15 AM,37.772,0.729
12/4/2012,7:32:16 AM,38.525,0.753
12/4/2012,7:32:16 AM,39.279,0.754
12/4/2012,7:32:17 AM,40.036,0.757
12/4/2012,7:32:18 AM,40.787,0.751
12/4/2012,7:32:19 AM,41.552,0.765
12/4/2012,7:32:19 AM,42.342,0.79
12/4/2012,7:32:20 AM,43.136,0.794
12/4/2012,7:32:21 AM,43.913,0.777
12/4/2012,7:32:22 AM,44.68,0.767
12/4/2012,7:32:22 AM,45.452,0.772
12/4/2012,7:32:23 AM,46.215,0.763
12/4/2012,7:32:24 AM,46.969,0.754
12/4/2012,7:32:25 AM,47.718,0.749
12/4/2012,7:32:25 AM,48.472,0.754
12/4/2012,7:32:26 AM,49.23,0.758
12/4/2012,7:32:27 AM,49.996,0.766
12/4/2012,7:32:28 AM,50.765,0.769
12/4/2012,7:32:29 AM,51.555,0.79
12/4/2012,7:32:29 AM,52.298,0.743
12/4/2012,7:32:30 AM,53.034,0.736
12/4/2012,7:32:31 AM,53.813,0.779
12/4/2012,7:32:32 AM,54.627,0.814
12/4/2012,7:32:33 AM,55.56,0.933
12/4/2012,7:32:34 AM,56.529,0.969
12/4/2012,7:32:35 AM,57.572,1.043
12/4/2012,7:32:36 AM,58.626,1.054
12/4/2012,7:32:37 AM,59.671,1.045
12/4/2012,7:32:38 AM,60.702,1.031
12/4/2012,7:32:39 AM,61.688,0.986
12/4/2012,7:32:40 AM,62.671,0.983
12/4/2012,7:32:41 AM,63.68,1.009
12/4/2012,7:32:42 AM,64.685,1.005
12/4/2012,7:32:43 AM,65.719,1.034
12/4/2012,7:32:44 AM,66.67,0.951
12/4/2012,7:32:45 AM,67.564,0.894
12/4/2012,7:32:45 AM,68.427,0.863
12/4/2012,7:32:46 AM,69.22,0.793
12/4/2012,7:32:47 AM,70.023,0.803
12/4/2012,7:32:48 AM,70.828,0.805
12/4/2012,7:32:49 AM,71.617,0.789
12/4/2012,7:32:49 AM,72.419,0.802
12/4/2012,7:32:50 AM,73.245,0.826
12/4/2012,7:32:51 AM,74.08,0.835
12/4/2012,7:32:52 AM,74.928,0.848
12/4/2012,7:32:53 AM,75.823,0.895
12/4/2012,7:32:54 AM,76.749,0.926
12/4/2012,7:32:55 AM,77.637,0.888
12/4/2012,7:32:56 AM,78.545,0.908
12/4/2012,7:32:56 AM,79.491,0.946
12/4/2012,7:32:57 AM,80.404,0.913
12/4/2012,7:32:58 AM,81.31,0.906
12/4/2012,7:32:59 AM,82.26,0.95
12/4/2012,7:33:00 AM,83.247,0.987
12/4/2012,7:33:01 AM,84.242,0.995
12/4/2012,7:33:02 AM,85.398,1.156
12/4/2012,7:33:04 AM,86.514,1.116
12/4/2012,7:33:05 AM,87.567,1.053
12/4/2012,7:33:05 AM,88.425,0.858
12/4/2012,7:33:06 AM,89.173,0.748
12/4/2012,7:33:07 AM,90.082,0.909
12/4/2012,7:33:08 AM,90.872,0.79
12/4/2012,7:33:09 AM,91.748,0.876
12/4/2012,7:33:10 AM,92.758,1.01
