Seconds,Time,R-R
31674,8:47:54 AM,1.789
31675.789,8:47:56 AM,1.789
31677.729,8:47:58 AM,1.94
31679.669,8:48:00 AM,1.94
31681.458,8:48:01 AM,1.789
31682.999,8:48:03 AM,1.541
31684.337,8:48:05 AM,1.541
31685.999,8:48:06 AM,1.662
31688.399,8:48:08 AM,1.684
31697.999,8:48:09 AM,1.594
31698.283,8:48:11 AM,1.435
31698.561,8:48:12 AM,1.249
31699.636,8:48:13 AM,1.075
31700.585,8:48:14 AM,0.949
31700.915,8:48:15 AM,0.875
31701.483,8:48:16 AM,0.847
31701.859,8:48:17 AM,0.854
31706.353,8:48:18 AM,0.89
31706.827,8:48:19 AM,0.944
31708.345,8:48:20 AM,1.009
31708.643,8:48:21 AM,1.076
31709.348,8:48:22 AM,1.137
31709.606,8:48:23 AM,1.182
31711.688,8:48:24 AM,1.204
31712.881,8:48:25 AM,1.193
31714.036,8:48:27 AM,1.155
31714.738,8:48:28 AM,1.135
31726.999,8:48:29 AM,1.134
31727.364,8:48:30 AM,1.137
31734.972,8:48:31 AM,1.129
31736.068,8:48:32 AM,1.096
31737.124,8:48:33 AM,1.056
31738.241,8:48:34 AM,1.117
31739.445,8:48:36 AM,1.204
31740.629,8:48:37 AM,1.184
31741.895,8:48:38 AM,1.266
31743.198,8:48:39 AM,1.303
31744.399,8:48:41 AM,1.201
31745.632,8:48:42 AM,1.233
31746.87,8:48:43 AM,1.238
31747.507,8:48:44 AM,1.215
31752.505,8:48:45 AM,1.194
31756.284,8:48:47 AM,1.194
31757.515,8:48:48 AM,1.231
31758.809,8:48:49 AM,1.294
31760.117,8:48:50 AM,1.308
31761.468,8:48:52 AM,1.351
31762.841,8:48:53 AM,1.373
31764.206,8:48:55 AM,1.365
31765.561,8:48:56 AM,1.355
31766.955,8:48:57 AM,1.394
31768.405,8:48:59 AM,1.45
31769.707,8:49:00 AM,1.302
31771.185,8:49:01 AM,1.478
31772.617,8:49:03 AM,1.432
31773.958,8:49:04 AM,1.341
31775.27,8:49:06 AM,1.312
31776.439,8:49:07 AM,1.169
31777.705,8:49:08 AM,1.266
31778.959,8:49:09 AM,1.254
31787.457,8:49:11 AM,1.262
31788.368,8:49:12 AM,1.317
31789.734,8:49:13 AM,1.366
31790.069,8:49:15 AM,1.368
31791.084,8:49:16 AM,1.326
31793.685,8:49:17 AM,1.254
31794.85,8:49:18 AM,1.165
31795.963,8:49:19 AM,1.113
31797.592,8:49:21 AM,1.237
31799.018,8:49:22 AM,1.426
31801.271,8:49:24 AM,1.532
31801.542,8:49:25 AM,1.548
31802.229,8:49:27 AM,1.501
31803.65,8:49:28 AM,1.421
31804.398,8:49:29 AM,1.33
31805.013,8:49:31 AM,1.239
31805.767,8:49:32 AM,1.15
31815.998,8:49:33 AM,1.069
31816.998,8:49:34 AM,1
31818.998,8:49:35 AM,0.948
31819.451,8:49:36 AM,0.915
31821.022,8:49:37 AM,0.901
31823.845,8:49:38 AM,0.91
31829.998,8:49:39 AM,0.943
31830.998,8:49:40 AM,1
31831.509,8:49:41 AM,1.078
31832.194,8:49:42 AM,1.147
31833.364,8:49:43 AM,1.17
31834.522,8:49:44 AM,1.158
31835.717,8:49:45 AM,1.195
31836.835,8:49:46 AM,1.118
31837.951,8:49:47 AM,1.116
31839.065,8:49:49 AM,1.114
31840.127,8:49:50 AM,1.062
31841.207,8:49:51 AM,1.08
31842.466,8:49:52 AM,1.259
31843.614,8:49:53 AM,1.148
31844.819,8:49:54 AM,1.205
31846.074,8:49:56 AM,1.255
31847.381,8:49:57 AM,1.307
31848.706,8:49:58 AM,1.325
31850.069,8:50:00 AM,1.363
31851.39,8:50:01 AM,1.321
31852.772,8:50:02 AM,1.382
31853.471,8:50:04 AM,1.419
31854.216,8:50:05 AM,1.395
31855.611,8:50:06 AM,1.324
31857.041,8:50:08 AM,1.219
31857.886,8:50:09 AM,1.096
31858.243,8:50:10 AM,0.969
31858.588,8:50:11 AM,0.852
31859.348,8:50:11 AM,0.76
31859.925,8:50:12 AM,0.703
31860.35,8:50:13 AM,0.679
31860.702,8:50:13 AM,0.681
31861.405,8:50:14 AM,0.703
31862.865,8:50:15 AM,0.739
31865.479,8:50:16 AM,0.784
31865.842,8:50:16 AM,0.834
31866.153,8:50:17 AM,0.885
31868.74,8:50:18 AM,0.932
31874.998,8:50:19 AM,0.972
31875.998,8:50:20 AM,1
31877.011,8:50:21 AM,1.013
31877.352,8:50:22 AM,1.012
31878.024,8:50:23 AM,1.003
31878.457,8:50:24 AM,0.991
31878.711,8:50:25 AM,0.984
31880.347,8:50:26 AM,0.988
31881.355,8:50:27 AM,1.008
31881.813,8:50:28 AM,1.049
31883.303,8:50:29 AM,1.101
31884.766,8:50:31 AM,1.152
31886.145,8:50:32 AM,1.191
31887.559,8:50:33 AM,1.205
31888.922,8:50:34 AM,1.183
31890.035,8:50:35 AM,1.113
31891.457,8:50:36 AM,0.991
31892.745,8:50:37 AM,0.851
31893.479,8:50:38 AM,0.734
31893.795,8:50:38 AM,0.673
31895.03,8:50:39 AM,0.664
31895.493,8:50:40 AM,0.694
31901.326,8:50:41 AM,0.75
31901.998,8:50:41 AM,0.82
31902.477,8:50:42 AM,0.89
31902.8,8:50:43 AM,0.948
31903.286,8:50:44 AM,0.98
31903.597,8:50:45 AM,0.974
31904.513,8:50:46 AM,0.916
31906.401,8:50:47 AM,0.803
31906.775,8:50:48 AM,0.67
31907.333,8:50:48 AM,0.558
31908.905,8:50:49 AM,0.502
31911.545,8:50:49 AM,0.495
31912.067,8:50:50 AM,0.522
31912.424,8:50:50 AM,0.569
31913.581,8:50:51 AM,0.623
31914.914,8:50:52 AM,0.675
31915.179,8:50:52 AM,0.713
31916.146,8:50:53 AM,0.726
31916.85,8:50:54 AM,0.704
31923.997,8:50:54 AM,0.648
31924.605,8:50:55 AM,0.608
31924.997,8:50:56 AM,0.629
31925.264,8:50:56 AM,0.683
31926.351,8:50:57 AM,0.722
31927.051,8:50:58 AM,0.7
31927.696,8:50:58 AM,0.645
31928.098,8:50:59 AM,0.783
31929.09,8:51:00 AM,0.992
31930.32,8:51:01 AM,1.094
31931.412,8:51:02 AM,1.092
31931.715,8:51:03 AM,1.035
31932.017,8:51:04 AM,0.957
31932.909,8:51:05 AM,0.892
31933.457,8:51:06 AM,0.86
31934.292,8:51:07 AM,0.835
31935.602,8:51:08 AM,0.792
31936.946,8:51:08 AM,0.747
31938.251,8:51:09 AM,0.728
31938.648,8:51:10 AM,0.762
31939.526,8:51:11 AM,0.878
31940.817,8:51:12 AM,1.069
31942.013,8:51:13 AM,1.196
31942.439,8:51:14 AM,1.138
31943.417,8:51:15 AM,0.978
31944.762,8:51:16 AM,0.83
31946.03,8:51:17 AM,0.725
31947.335,8:51:17 AM,0.675
31948.66,8:51:18 AM,0.69
31949.443,8:51:19 AM,0.783
31949.725,8:51:20 AM,0.947
31951.46,8:51:21 AM,1.106
31951.803,8:51:22 AM,1.167
31952.842,8:51:23 AM,1.039
31953.661,8:51:24 AM,0.819
31954.652,8:51:25 AM,0.991
31954.965,8:51:26 AM,0.969
31955.772,8:51:27 AM,0.807
31964.606,8:51:27 AM,0.749
31964.997,8:51:28 AM,0.79
31965.534,8:51:29 AM,0.862
31966.432,8:51:30 AM,0.898
31967.312,8:51:31 AM,0.88
31968.175,8:51:32 AM,0.863
31968.904,8:51:32 AM,0.729
31969.868,8:51:33 AM,0.964
31971.627,8:51:34 AM,1.008
31972.558,8:51:35 AM,0.931
31973.506,8:51:36 AM,0.948
31974.43,8:51:37 AM,0.924
31975.391,8:51:38 AM,0.961
31976.452,8:51:39 AM,1.061
31977.655,8:51:40 AM,1.203
31978.78,8:51:42 AM,1.125
31979.947,8:51:43 AM,1.167
31981.118,8:51:44 AM,1.171
31982.187,8:51:45 AM,1.069
31983.281,8:51:46 AM,1.094
31984.402,8:51:47 AM,1.121
31985.455,8:51:48 AM,1.053
31986.501,8:51:49 AM,1.046
31987.482,8:51:50 AM,0.981
31988.439,8:51:51 AM,0.957
31989.386,8:51:52 AM,0.947
31990.345,8:51:53 AM,0.959
31991.287,8:51:54 AM,0.942
31992.197,8:51:55 AM,0.91
31993.08,8:51:56 AM,0.883
31993.947,8:51:57 AM,0.867
31994.799,8:51:58 AM,0.852
31995.645,8:51:58 AM,0.846
31996.491,8:51:59 AM,0.846
31997.335,8:52:00 AM,0.844
31998.184,8:52:01 AM,0.849
31999.062,8:52:02 AM,0.878
31999.955,8:52:03 AM,0.893
32000.832,8:52:04 AM,0.877
32001.685,8:52:05 AM,0.853
32002.533,8:52:05 AM,0.848
32003.137,8:52:06 AM,0.863
32003.604,8:52:07 AM,0.881
32004.223,8:52:08 AM,0.885
32005.079,8:52:09 AM,0.856
32005.926,8:52:10 AM,0.847
32006.871,8:52:11 AM,0.945
32007.612,8:52:11 AM,0.741
32008.447,8:52:12 AM,0.835
32009.102,8:52:13 AM,0.655
32013.72,8:52:13 AM,0.566
32014.034,8:52:14 AM,0.642
32014.625,8:52:15 AM,0.782
32015.511,8:52:16 AM,0.886
32016.409,8:52:17 AM,0.898
32017.337,8:52:18 AM,0.928
32018.352,8:52:19 AM,1.015
32019.357,8:52:20 AM,1.005
32020.563,8:52:21 AM,0.922
32021.966,8:52:21 AM,0.84
32022.797,8:52:22 AM,0.831
32024.827,8:52:23 AM,0.929
32025.847,8:52:24 AM,1.02
32026.845,8:52:25 AM,0.998
32027.771,8:52:26 AM,0.926
32028.669,8:52:27 AM,0.898
32029.682,8:52:28 AM,1.013
32030.637,8:52:29 AM,0.955
32031.689,8:52:30 AM,1.052
32032.109,8:52:31 AM,0.883
32032.846,8:52:32 AM,0.737
32033.773,8:52:33 AM,0.927
32034.744,8:52:33 AM,0.971
32035.55,8:52:34 AM,0.806
32035.901,8:52:35 AM,0.656
32036.24,8:52:36 AM,0.566
32043.996,8:52:36 AM,0.522
32047.618,8:52:37 AM,0.512
32047.996,8:52:37 AM,0.523
