Date,Time,Seconds,Delta,,
30/11/2021,8:47:54 AM,0,1.789,,
30/11/2021,8:47:55 AM,1.789,1.789,,
30/11/2021,8:47:57 AM,3.729,1.94,,
30/11/2021,8:47:59 AM,5.669,1.94,,
30/11/2021,8:48:01 AM,7.458,1.789,,
30/11/2021,8:48:02 AM,8.999,1.541,,
30/11/2021,8:48:04 AM,10.337,1.541,,
30/11/2021,8:48:05 AM,11.999,1.662,,
30/11/2021,8:48:08 AM,14.399,1.684,,
30/11/2021,8:48:17 AM,23.999,1.594,,
30/11/2021,8:48:18 AM,24.283,1.435,,
30/11/2021,8:48:18 AM,24.561,1.249,,
30/11/2021,8:48:19 AM,25.636,1.075,,
30/11/2021,8:48:20 AM,26.585,0.949,,
30/11/2021,8:48:20 AM,26.915,0.875,,
30/11/2021,8:48:21 AM,27.483,0.847,,
30/11/2021,8:48:21 AM,27.859,0.854,,
30/11/2021,8:48:26 AM,32.353,0.89,,
30/11/2021,8:48:26 AM,32.827,0.944,,
30/11/2021,8:48:28 AM,34.345,1.009,,
30/11/2021,8:48:28 AM,34.643,1.076,,
30/11/2021,8:48:29 AM,35.348,1.137,,
30/11/2021,8:48:29 AM,35.606,1.182,,
30/11/2021,8:48:31 AM,37.688,1.204,,
30/11/2021,8:48:32 AM,38.881,1.193,,
30/11/2021,8:48:34 AM,40.036,1.155,,
30/11/2021,8:48:34 AM,40.738,1.135,,
30/11/2021,8:48:46 AM,52.999,1.134,,
30/11/2021,8:48:47 AM,53.364,1.137,,
30/11/2021,8:48:54 AM,60.972,1.129,,
30/11/2021,8:48:56 AM,62.068,1.096,,
30/11/2021,8:48:57 AM,63.124,1.056,,
30/11/2021,8:48:58 AM,64.241,1.117,,
30/11/2021,8:48:59 AM,65.445,1.204,,
30/11/2021,8:49:00 AM,66.629,1.184,,
30/11/2021,8:49:01 AM,67.895,1.266,,
30/11/2021,8:49:03 AM,69.198,1.303,,
30/11/2021,8:49:04 AM,70.399,1.201,,
30/11/2021,8:49:05 AM,71.632,1.233,,
30/11/2021,8:49:06 AM,72.87,1.238,,
30/11/2021,8:49:07 AM,73.507,1.215,,
30/11/2021,8:49:12 AM,78.505,1.194,,
30/11/2021,8:49:16 AM,82.284,1.194,,
30/11/2021,8:49:17 AM,83.515,1.231,,
30/11/2021,8:49:18 AM,84.809,1.294,,
30/11/2021,8:49:20 AM,86.117,1.308,,
30/11/2021,8:49:21 AM,87.468,1.351,,
30/11/2021,8:49:22 AM,88.841,1.373,,
30/11/2021,8:49:24 AM,90.206,1.365,,
30/11/2021,8:49:25 AM,91.561,1.355,,
30/11/2021,8:49:26 AM,92.955,1.394,,
30/11/2021,8:49:28 AM,94.405,1.45,,
30/11/2021,8:49:29 AM,95.707,1.302,,
30/11/2021,8:49:31 AM,97.185,1.478,,
30/11/2021,8:49:32 AM,98.617,1.432,,
30/11/2021,8:49:33 AM,99.958,1.341,,
30/11/2021,8:49:35 AM,101.27,1.312,,
30/11/2021,8:49:36 AM,102.439,1.169,,
30/11/2021,8:49:37 AM,103.705,1.266,,
30/11/2021,8:49:38 AM,104.959,1.254,,
30/11/2021,8:49:47 AM,113.457,1.262,,
30/11/2021,8:49:48 AM,114.368,1.317,,
30/11/2021,8:49:49 AM,115.734,1.366,,
30/11/2021,8:49:50 AM,116.069,1.368,,
30/11/2021,8:49:51 AM,117.084,1.326,,
30/11/2021,8:49:53 AM,119.685,1.254,,
30/11/2021,8:49:54 AM,120.85,1.165,,
30/11/2021,8:49:55 AM,121.963,1.113,,
30/11/2021,8:49:57 AM,123.592,1.237,,
30/11/2021,8:49:59 AM,125.018,1.426,,
30/11/2021,8:50:01 AM,127.271,1.532,,
30/11/2021,8:50:01 AM,127.542,1.548,,
30/11/2021,8:50:02 AM,128.229,1.501,,
30/11/2021,8:50:03 AM,129.65,1.421,,
30/11/2021,8:50:04 AM,130.398,1.33,,
30/11/2021,8:50:05 AM,131.013,1.239,,
30/11/2021,8:50:05 AM,131.767,1.15,,
30/11/2021,8:50:15 AM,141.998,1.069,,
30/11/2021,8:50:16 AM,142.998,1,,
30/11/2021,8:50:18 AM,144.998,0.948,,
30/11/2021,8:50:19 AM,145.451,0.915,,
30/11/2021,8:50:21 AM,147.022,0.901,,
30/11/2021,8:50:23 AM,149.845,0.91,,
30/11/2021,8:50:29 AM,155.998,0.943,,
30/11/2021,8:50:30 AM,156.998,1,,
30/11/2021,8:50:31 AM,157.509,1.078,,
30/11/2021,8:50:32 AM,158.194,1.147,,
30/11/2021,8:50:33 AM,159.364,1.17,,
30/11/2021,8:50:34 AM,160.522,1.158,,
30/11/2021,8:50:35 AM,161.717,1.195,,
30/11/2021,8:50:36 AM,162.835,1.118,,
30/11/2021,8:50:37 AM,163.951,1.116,,
30/11/2021,8:50:39 AM,165.065,1.114,,
30/11/2021,8:50:40 AM,166.127,1.062,,
