seconds,rr,time,date
4322,1.094,1:12:02 AM,3/12/2022
4323.094,1.094,1:12:03 AM,3/12/2022
4324.228,1.134,1:12:04 AM,3/12/2022
4326.038,1.011,1:12:06 AM,3/12/2022
4326.457,0.825,1:12:06 AM,3/12/2022
4327.211,0.754,1:12:07 AM,3/12/2022
4327.701,0.901,1:12:08 AM,3/12/2022
4328.779,1.078,1:12:09 AM,3/12/2022
4329.268,1.093,1:12:09 AM,3/12/2022
4330.287,1.019,1:12:10 AM,3/12/2022
4331.243,0.956,1:12:11 AM,3/12/2022
4332.12,0.877,1:12:12 AM,3/12/2022
4332.968,0.848,1:12:13 AM,3/12/2022
4333.817,0.849,1:12:14 AM,3/12/2022
4334.649,0.832,1:12:15 AM,3/12/2022
4335.53,0.881,1:12:16 AM,3/12/2022
4336.457,0.927,1:12:16 AM,3/12/2022
4337.367,0.91,1:12:17 AM,3/12/2022
4338.405,1.038,1:12:18 AM,3/12/2022
4339.521,1.116,1:12:20 AM,3/12/2022
4340.667,1.146,1:12:21 AM,3/12/2022
4341.759,1.092,1:12:22 AM,3/12/2022
4342.771,1.012,1:12:23 AM,3/12/2022
4343.753,0.982,1:12:24 AM,3/12/2022
4344.739,0.986,1:12:25 AM,3/12/2022
4345.668,0.929,1:12:26 AM,3/12/2022
4346.153,0.77,1:12:26 AM,3/12/2022
4346.513,0.581,1:12:27 AM,3/12/2022
4349.355,0.458,1:12:29 AM,3/12/2022
4349.792,0.498,1:12:30 AM,3/12/2022
4350.589,0.797,1:12:31 AM,3/12/2022
4351.799,1.21,1:12:32 AM,3/12/2022
4352.874,1.075,1:12:33 AM,3/12/2022
4353.88,1.006,1:12:34 AM,3/12/2022
4354.865,0.985,1:12:35 AM,3/12/2022
4355.85,0.985,1:12:36 AM,3/12/2022
4356.878,1.028,1:12:37 AM,3/12/2022
4358.593,1.108,1:12:39 AM,3/12/2022
4359.324,1.193,1:12:39 AM,3/12/2022
4360.566,1.242,1:12:41 AM,3/12/2022
4361.791,1.225,1:12:42 AM,3/12/2022
4362.972,1.181,1:12:43 AM,3/12/2022
4364.204,1.232,1:12:44 AM,3/12/2022
4365.462,1.258,1:12:45 AM,3/12/2022
4366.716,1.254,1:12:47 AM,3/12/2022
4368.012,1.296,1:12:48 AM,3/12/2022
4369.315,1.303,1:12:49 AM,3/12/2022
4370.587,1.272,1:12:51 AM,3/12/2022
4371.903,1.316,1:12:52 AM,3/12/2022
4373.189,1.286,1:12:53 AM,3/12/2022
4374.503,1.314,1:12:55 AM,3/12/2022
4375.83,1.327,1:12:56 AM,3/12/2022
4377.104,1.274,1:12:57 AM,3/12/2022
4378.38,1.276,1:12:58 AM,3/12/2022
4379.646,1.266,1:13:00 AM,3/12/2022
4380.862,1.216,1:13:01 AM,3/12/2022
4382.087,1.225,1:13:02 AM,3/12/2022
4383.334,1.247,1:13:03 AM,3/12/2022
4384.56,1.226,1:13:05 AM,3/12/2022
4385.805,1.245,1:13:06 AM,3/12/2022
4387.076,1.271,1:13:07 AM,3/12/2022
4388.294,1.218,1:13:08 AM,3/12/2022
4389.515,1.221,1:13:10 AM,3/12/2022
4390.768,1.253,1:13:11 AM,3/12/2022
4391.999,1.231,1:13:12 AM,3/12/2022
4393.259,1.26,1:13:13 AM,3/12/2022
4394.572,1.313,1:13:15 AM,3/12/2022
4395.846,1.274,1:13:16 AM,3/12/2022
4397.113,1.267,1:13:17 AM,3/12/2022
4398.41,1.297,1:13:18 AM,3/12/2022
4399.685,1.275,1:13:20 AM,3/12/2022
4400.965,1.28,1:13:21 AM,3/12/2022
4402.251,1.286,1:13:22 AM,3/12/2022
4403.514,1.263,1:13:24 AM,3/12/2022
4404.759,1.245,1:13:25 AM,3/12/2022
4406.05,1.291,1:13:26 AM,3/12/2022
4407.308,1.258,1:13:27 AM,3/12/2022
4408.545,1.237,1:13:29 AM,3/12/2022
4409.831,1.286,1:13:30 AM,3/12/2022
4411.103,1.272,1:13:31 AM,3/12/2022
4412.36,1.257,1:13:32 AM,3/12/2022
4413.67,1.31,1:13:34 AM,3/12/2022
4414.97,1.3,1:13:35 AM,3/12/2022
4416.26,1.29,1:13:36 AM,3/12/2022
4417.589,1.329,1:13:38 AM,3/12/2022
4418.886,1.297,1:13:39 AM,3/12/2022
4420.169,1.283,1:13:40 AM,3/12/2022
4421.483,1.314,1:13:41 AM,3/12/2022
4422.759,1.276,1:13:43 AM,3/12/2022
4424.048,1.289,1:13:44 AM,3/12/2022
4425.365,1.317,1:13:45 AM,3/12/2022
4426.646,1.281,1:13:47 AM,3/12/2022
4427.934,1.288,1:13:48 AM,3/12/2022
4429.233,1.299,1:13:49 AM,3/12/2022
4430.516,1.283,1:13:51 AM,3/12/2022
4431.742,1.226,1:13:52 AM,3/12/2022
4433.005,1.263,1:13:53 AM,3/12/2022
4434.282,1.277,1:13:54 AM,3/12/2022
4435.546,1.264,1:13:56 AM,3/12/2022
4436.848,1.302,1:13:57 AM,3/12/2022
4438.136,1.288,1:13:58 AM,3/12/2022
4439.429,1.293,1:13:59 AM,3/12/2022
4440.713,1.284,1:14:01 AM,3/12/2022
4441.928,1.215,1:14:02 AM,3/12/2022
4443.163,1.235,1:14:03 AM,3/12/2022
4444.413,1.25,1:14:04 AM,3/12/2022
4445.643,1.23,1:14:06 AM,3/12/2022
4446.899,1.256,1:14:07 AM,3/12/2022
4448.137,1.238,1:14:08 AM,3/12/2022
4449.338,1.201,1:14:09 AM,3/12/2022
4450.544,1.206,1:14:11 AM,3/12/2022
4451.724,1.18,1:14:12 AM,3/12/2022
4452.899,1.175,1:14:13 AM,3/12/2022
4454.136,1.237,1:14:14 AM,3/12/2022
4455.381,1.245,1:14:15 AM,3/12/2022
4456.611,1.23,1:14:17 AM,3/12/2022
4457.893,1.282,1:14:18 AM,3/12/2022
4459.156,1.263,1:14:19 AM,3/12/2022
4460.411,1.255,1:14:20 AM,3/12/2022
4461.716,1.305,1:14:22 AM,3/12/2022
4462.989,1.273,1:14:23 AM,3/12/2022
4464.259,1.27,1:14:24 AM,3/12/2022
4465.551,1.292,1:14:26 AM,3/12/2022
4466.81,1.259,1:14:27 AM,3/12/2022
4468.036,1.226,1:14:28 AM,3/12/2022
4469.283,1.247,1:14:29 AM,3/12/2022
4470.523,1.24,1:14:31 AM,3/12/2022
4471.752,1.229,1:14:32 AM,3/12/2022
4473.001,1.249,1:14:33 AM,3/12/2022
4474.223,1.222,1:14:34 AM,3/12/2022
4475.436,1.213,1:14:35 AM,3/12/2022
4476.687,1.251,1:14:37 AM,3/12/2022
4477.933,1.246,1:14:38 AM,3/12/2022
4479.191,1.258,1:14:39 AM,3/12/2022
4480.516,1.325,1:14:41 AM,3/12/2022
4481.85,1.334,1:14:42 AM,3/12/2022
4483.205,1.355,1:14:43 AM,3/12/2022
4484.557,1.352,1:14:45 AM,3/12/2022
4485.86,1.303,1:14:46 AM,3/12/2022
4487.077,1.217,1:14:47 AM,3/12/2022
4488.3,1.223,1:14:48 AM,3/12/2022
4489.515,1.215,1:14:50 AM,3/12/2022
4490.676,1.161,1:14:51 AM,3/12/2022
4491.727,1.051,1:14:52 AM,3/12/2022
4492.632,0.905,1:14:53 AM,3/12/2022
4493.496,0.864,1:14:53 AM,3/12/2022
4494.352,0.856,1:14:54 AM,3/12/2022
4495.296,0.944,1:14:55 AM,3/12/2022
4496.358,1.062,1:14:56 AM,3/12/2022
4497.452,1.094,1:14:57 AM,3/12/2022
4498.578,1.126,1:14:59 AM,3/12/2022
4499.731,1.153,1:15:00 AM,3/12/2022
4500.845,1.114,1:15:01 AM,3/12/2022
4501.911,1.066,1:15:02 AM,3/12/2022
4503.053,1.142,1:15:03 AM,3/12/2022
4504.318,1.265,1:15:04 AM,3/12/2022
4505.595,1.277,1:15:06 AM,3/12/2022
4506.925,1.33,1:15:07 AM,3/12/2022
4508.194,1.269,1:15:08 AM,3/12/2022
4509.492,1.298,1:15:09 AM,3/12/2022
4510.789,1.297,1:15:11 AM,3/12/2022
