seconds,rr,time,date
26096,0.815,7:14:56 AM,3/27/2022
26096.815,0.815,7:14:57 AM,3/27/2022
26097.63,0.813,7:14:58 AM,3/27/2022
26098.443,0.845,7:14:58 AM,3/27/2022
26099.288,0.861,7:14:59 AM,3/27/2022
26100.149,0.845,7:15:00 AM,3/27/2022
26100.994,0.845,7:15:01 AM,3/27/2022
26101.839,0.847,7:15:02 AM,3/27/2022
26102.686,0.832,7:15:03 AM,3/27/2022
26103.518,0.817,7:15:04 AM,3/27/2022
26104.335,0.835,7:15:04 AM,3/27/2022
26105.17,0.838,7:15:05 AM,3/27/2022
26106.008,0.823,7:15:06 AM,3/27/2022
26106.831,0.853,7:15:07 AM,3/27/2022
26107.684,0.823,7:15:08 AM,3/27/2022
26108.507,0.852,7:15:09 AM,3/27/2022
26109.359,0.838,7:15:09 AM,3/27/2022
26110.197,0.845,7:15:10 AM,3/27/2022
26111.042,0.86,7:15:11 AM,3/27/2022
26111.902,0.875,7:15:12 AM,3/27/2022
26112.777,0.864,7:15:13 AM,3/27/2022
26113.641,0.872,7:15:14 AM,3/27/2022
26114.513,0.885,7:15:15 AM,3/27/2022
26115.398,0.888,7:15:15 AM,3/27/2022
26116.286,0.92,7:15:16 AM,3/27/2022
26117.206,0.948,7:15:17 AM,3/27/2022
26118.154,0.893,7:15:18 AM,3/27/2022
26119.047,0.911,7:15:19 AM,3/27/2022
26119.958,0.931,7:15:20 AM,3/27/2022
26120.889,0.917,7:15:21 AM,3/27/2022
26121.806,0.913,7:15:22 AM,3/27/2022
26122.719,0.917,7:15:23 AM,3/27/2022
26123.636,0.923,7:15:24 AM,3/27/2022
26124.559,0.913,7:15:25 AM,3/27/2022
26125.472,0.917,7:15:25 AM,3/27/2022
26126.389,0.928,7:15:26 AM,3/27/2022
26127.317,0.921,7:15:27 AM,3/27/2022
26128.238,0.922,7:15:28 AM,3/27/2022
26129.16,0.906,7:15:29 AM,3/27/2022
26130.066,0.875,7:15:30 AM,3/27/2022
26130.941,0.853,7:15:31 AM,3/27/2022
26131.794,0.904,7:15:32 AM,3/27/2022
26132.698,0.879,7:15:33 AM,3/27/2022
26133.577,0.963,7:15:34 AM,3/27/2022
26134.54,0.921,7:15:35 AM,3/27/2022
26135.461,0.828,7:15:35 AM,3/27/2022
26136.289,0.813,7:15:36 AM,3/27/2022
26137.102,0.797,7:15:37 AM,3/27/2022
26137.899,0.797,7:15:38 AM,3/27/2022
26138.696,0.798,7:15:39 AM,3/27/2022
26139.494,0.806,7:15:39 AM,3/27/2022
26140.3,0.812,7:15:40 AM,3/27/2022
26141.112,0.797,7:15:41 AM,3/27/2022
26141.909,0.814,7:15:42 AM,3/27/2022
26142.723,0.852,7:15:43 AM,3/27/2022
26143.575,0.926,7:15:44 AM,3/27/2022
26144.501,0.986,7:15:45 AM,3/27/2022
26145.487,0.971,7:15:45 AM,3/27/2022
26146.458,0.957,7:15:46 AM,3/27/2022
26147.415,0.956,7:15:47 AM,3/27/2022
26148.371,0.902,7:15:48 AM,3/27/2022
26149.273,0.902,7:15:49 AM,3/27/2022
26150.175,0.901,7:15:50 AM,3/27/2022
26151.076,0.895,7:15:51 AM,3/27/2022
26151.971,0.875,7:15:52 AM,3/27/2022
26152.846,0.869,7:15:53 AM,3/27/2022
26153.715,0.878,7:15:54 AM,3/27/2022
26154.593,0.869,7:15:55 AM,3/27/2022
26155.462,0.834,7:15:55 AM,3/27/2022
26156.296,0.859,7:15:56 AM,3/27/2022
26157.155,0.868,7:15:57 AM,3/27/2022
26158.023,0.825,7:15:58 AM,3/27/2022
26158.848,0.774,7:15:59 AM,3/27/2022
26159.622,0.76,7:16:00 AM,3/27/2022
26160.382,0.758,7:16:00 AM,3/27/2022
26161.14,0.74,7:16:01 AM,3/27/2022
26161.88,0.736,7:16:02 AM,3/27/2022
26162.616,0.73,7:16:03 AM,3/27/2022
26163.346,0.726,7:16:03 AM,3/27/2022
26164.072,0.726,7:16:04 AM,3/27/2022
26164.798,0.727,7:16:05 AM,3/27/2022
26165.525,0.732,7:16:06 AM,3/27/2022
26166.257,0.742,7:16:06 AM,3/27/2022
26166.999,0.729,7:16:07 AM,3/27/2022
26167.728,0.734,7:16:08 AM,3/27/2022
26168.462,0.736,7:16:08 AM,3/27/2022
26169.198,0.731,7:16:09 AM,3/27/2022
26169.929,0.72,7:16:10 AM,3/27/2022
26170.649,0.709,7:16:11 AM,3/27/2022
26171.358,0.704,7:16:11 AM,3/27/2022
26172.062,0.696,7:16:12 AM,3/27/2022
26172.758,0.681,7:16:13 AM,3/27/2022
26173.439,0.654,7:16:13 AM,3/27/2022
26174.093,0.664,7:16:14 AM,3/27/2022
26174.757,0.664,7:16:15 AM,3/27/2022
26175.421,0.695,7:16:15 AM,3/27/2022
26176.116,0.726,7:16:16 AM,3/27/2022
26176.842,0.774,7:16:17 AM,3/27/2022
